"","start_hour","Offense.Parent.Group","n_starts","start_norm","n_reports","report_norm"
"123","04","WEAPON LAW VIOLATIONS",720,0.625,673,0.62430426716141
"124","05","ANIMAL CRUELTY",9,0.321428571428571,8,0.470588235294118
"125","05","ARSON",144,0.688995215311005,134,0.740331491712707
"126","05","ASSAULT OFFENSES",9752,0.538992980710772,10965,0.75
"127","05","BAD CHECKS",307,0.117579471466871,466,0.624664879356568
"128","05","BRIBERY",1,0.333333333333333,NA,NA
"129","05","BURGLARY/BREAKING&ENTERING",9997,0.609424530602292,8803,0.780338622462548
"130","05","COUNTERFEITING/FORGERY",309,0.198458574181118,377,0.674418604651163
"131","05","CURFEW/LOITERING/VAGRANCY VIOLATIONS",43,0.3359375,51,0.395348837209302
"132","05","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",6970,0.567682032904382,5974,0.623590814196242
"133","05","DRIVING UNDER THE INFLUENCE",744,0.265809217577706,901,0.331737849779087
"134","05","DRUG/NARCOTIC OFFENSES",1688,0.562104562104562,1850,0.639474593847217
"135","05","DRUNKENNESS",1,0.2,NA,NA
"136","05","EMBEZZLEMENT",100,0.149700598802395,141,0.649769585253456
"137","05","EXTORTION/BLACKMAIL",55,0.245535714285714,54,0.627906976744186
"138","05","FAMILY OFFENSES, NONVIOLENT",632,0.40460947503201,678,0.68762677484787
"139","05","FRAUD OFFENSES",2655,0.133376871295087,3784,0.660729876025843
"140","05","GAMBLING OFFENSES",2,0.4,1,0.25
"141","05","HOMICIDE OFFENSES",16,0.2,30,0.566037735849057
"142","05","HUMAN TRAFFICKING",1,0.05,5,0.833333333333333
"143","05","KIDNAPPING/ABDUCTION",93,0.407894736842105,103,0.798449612403101
"144","05","LARCENY-THEFT",29439,0.607553400061913,25611,0.65677650980895
"145","05","LIQUOR LAW VIOLATIONS",123,0.400651465798046,130,0.457746478873239
"146","05","MOTOR VEHICLE THEFT",5092,0.688201108257873,4456,0.611583859456492
"147","05","PEEPING TOM",11,0.314285714285714,14,0.608695652173913
"148","05","PORNOGRAPHY/OBSCENE MATERIAL",16,0.128,27,0.58695652173913
"149","05","PROSTITUTION OFFENSES",179,0.282334384858044,194,0.33448275862069
"150","05","ROBBERY",1762,0.750425894378194,1870,0.862546125461255
"151","05","SEX OFFENSES",348,0.23721881390593,495,0.786963434022258
"152","05","SEX OFFENSES, CONSENSUAL",5,0.0757575757575758,10,0.454545454545455
"153","05","STOLEN PROPERTY OFFENSES",476,0.601010101010101,466,0.765188834154351
"154","05","TRESPASS OF REAL PROPERTY",2252,0.617493830545654,2361,0.766807405001624
"155","05","WEAPON LAW VIOLATIONS",616,0.534722222222222,687,0.637291280148423
"156","06","ANIMAL CRUELTY",10,0.357142857142857,11,0.647058823529412
"157","06","ARSON",129,0.617224880382775,132,0.729281767955801
"158","06","ASSAULT OFFENSES",9754,0.539103520698613,10567,0.722777017783858
"159","06","BAD CHECKS",245,0.0938337801608579,430,0.576407506702413
"160","06","BRIBERY",2,0.666666666666667,3,1
"161","06","BURGLARY/BREAKING&ENTERING",9603,0.585405998536942,9972,0.883964187572024
"162","06","COUNTERFEITING/FORGERY",312,0.200385356454721,385,0.688729874776386
"163","06","CURFEW/LOITERING/VAGRANCY VIOLATIONS",53,0.4140625,61,0.472868217054264
"164","06","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",7609,0.619726339794755,7145,0.745824634655532
"165","06","DRIVING UNDER THE INFLUENCE",671,0.239728474455163,831,0.305964653902798
"166","06","DRUG/NARCOTIC OFFENSES",1433,0.477189477189477,1619,0.55962668510197
"167","06","DRUNKENNESS",1,0.2,3,0.75
"168","06","EMBEZZLEMENT",86,0.12874251497006,108,0.497695852534562
"169","06","EXTORTION/BLACKMAIL",48,0.214285714285714,79,0.918604651162791
"170","06","FAMILY OFFENSES, NONVIOLENT",656,0.419974391805378,668,0.677484787018256
"171","06","FRAUD OFFENSES",2646,0.132924746307646,4157,0.725859961585472
"172","06","GAMBLING OFFENSES",2,0.4,2,0.5
"173","06","HOMICIDE OFFENSES",25,0.3125,39,0.735849056603774
"174","06","KIDNAPPING/ABDUCTION",94,0.412280701754386,108,0.837209302325581
"175","06","LARCENY-THEFT",32406,0.668785471055619,30719,0.787767662520836
"176","06","LIQUOR LAW VIOLATIONS",113,0.368078175895765,133,0.46830985915493
"177","06","MOTOR VEHICLE THEFT",6085,0.822408433572104,5264,0.72248147131485
"178","06","PEEPING TOM",10,0.285714285714286,10,0.434782608695652
"179","06","PORNOGRAPHY/OBSCENE MATERIAL",21,0.168,24,0.521739130434783
"180","06","PROSTITUTION OFFENSES",219,0.345425867507886,234,0.403448275862069
"181","06","ROBBERY",1712,0.729131175468484,1898,0.875461254612546
"182","06","SEX OFFENSES",383,0.261077027948194,482,0.766295707472178
"183","06","SEX OFFENSES, CONSENSUAL",7,0.106060606060606,11,0.5
"184","06","STOLEN PROPERTY OFFENSES",433,0.546717171717172,548,0.899835796387521
"185","06","TRESPASS OF REAL PROPERTY",2255,0.618316424458459,2423,0.786943812926275
"186","06","WEAPON LAW VIOLATIONS",584,0.506944444444444,638,0.591836734693878
"187","07","ANIMAL CRUELTY",9,0.321428571428571,15,0.882352941176471
"188","07","ARSON",116,0.555023923444976,138,0.762430939226519
"189","07","ASSAULT OFFENSES",10894,0.602111313767756,10290,0.703830369357045
"190","07","BAD CHECKS",236,0.0903868249712754,384,0.514745308310992
"191","07","BRIBERY",2,0.666666666666667,2,0.666666666666667
"192","07","BURGLARY/BREAKING&ENTERING",8899,0.542489636673982,9195,0.815087314954348
"193","07","COUNTERFEITING/FORGERY",314,0.201669877970456,320,0.572450805008945
"194","07","CURFEW/LOITERING/VAGRANCY VIOLATIONS",35,0.2734375,36,0.27906976744186
"195","07","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",7328,0.596839876201336,7130,0.744258872651357
"196","07","DRIVING UNDER THE INFLUENCE",815,0.291175419792783,907,0.333946980854197
"197","07","DRUG/NARCOTIC OFFENSES",1505,0.501165501165501,1594,0.550985136536467
"198","07","DRUNKENNESS",1,0.2,NA,NA
"199","07","EMBEZZLEMENT",64,0.0958083832335329,88,0.405529953917051
"200","07","EXTORTION/BLACKMAIL",50,0.223214285714286,51,0.593023255813954
"201","07","FAMILY OFFENSES, NONVIOLENT",743,0.475672215108835,754,0.764705882352941
"202","07","FRAUD OFFENSES",2728,0.13704410730433,4288,0.748734066701589
"203","07","GAMBLING OFFENSES",1,0.2,3,0.75
