"","MCPP","year","n"
"335","GENESEE","2020",232
"336","GENESEE","2021",250
"337","GENESEE","2022",278
"338","GENESEE","2023",24
"339","GEORGETOWN","2008",772
"340","GEORGETOWN","2009",609
"341","GEORGETOWN","2010",661
"342","GEORGETOWN","2011",679
"343","GEORGETOWN","2012",747
"344","GEORGETOWN","2013",715
"345","GEORGETOWN","2014",779
"346","GEORGETOWN","2015",711
"347","GEORGETOWN","2016",790
"348","GEORGETOWN","2017",999
"349","GEORGETOWN","2018",1070
"350","GEORGETOWN","2019",1043
"351","GEORGETOWN","2020",1189
"352","GEORGETOWN","2021",1288
"353","GEORGETOWN","2022",1193
"354","GEORGETOWN","2023",124
"355","GREENWOOD","2008",1351
"356","GREENWOOD","2009",1354
"357","GREENWOOD","2010",1453
"358","GREENWOOD","2011",1286
"359","GREENWOOD","2012",1224
"360","GREENWOOD","2013",1441
"361","GREENWOOD","2014",1643
"362","GREENWOOD","2015",1662
"363","GREENWOOD","2016",1647
"364","GREENWOOD","2017",1630
"365","GREENWOOD","2018",1617
"366","GREENWOOD","2019",1626
"367","GREENWOOD","2020",1879
"368","GREENWOOD","2021",1158
"369","GREENWOOD","2022",1342
"370","GREENWOOD","2023",215
"371","HIGH POINT","2008",458
"372","HIGH POINT","2009",608
"373","HIGH POINT","2010",546
"374","HIGH POINT","2011",588
"375","HIGH POINT","2012",548
"376","HIGH POINT","2013",501
"377","HIGH POINT","2014",433
"378","HIGH POINT","2015",542
"379","HIGH POINT","2016",615
"380","HIGH POINT","2017",638
"381","HIGH POINT","2018",591
"382","HIGH POINT","2019",568
"383","HIGH POINT","2020",661
"384","HIGH POINT","2021",662
"385","HIGH POINT","2022",606
"386","HIGH POINT","2023",48
"387","HIGHLAND PARK","2008",727
"388","HIGHLAND PARK","2009",729
"389","HIGHLAND PARK","2010",710
"390","HIGHLAND PARK","2011",785
"391","HIGHLAND PARK","2012",775
"392","HIGHLAND PARK","2013",811
"393","HIGHLAND PARK","2014",776
"394","HIGHLAND PARK","2015",684
"395","HIGHLAND PARK","2016",848
"396","HIGHLAND PARK","2017",772
"397","HIGHLAND PARK","2018",878
"398","HIGHLAND PARK","2019",820
"399","HIGHLAND PARK","2020",818
"400","HIGHLAND PARK","2021",762
"401","HIGHLAND PARK","2022",833
"402","HIGHLAND PARK","2023",85
"403","HILLMAN CITY","2008",487
"404","HILLMAN CITY","2009",403
"405","HILLMAN CITY","2010",401
"406","HILLMAN CITY","2011",376
"407","HILLMAN CITY","2012",290
"408","HILLMAN CITY","2013",328
"409","HILLMAN CITY","2014",396
"410","HILLMAN CITY","2015",402
"411","HILLMAN CITY","2016",279
"412","HILLMAN CITY","2017",299
"413","HILLMAN CITY","2018",277
"414","HILLMAN CITY","2019",243
"415","HILLMAN CITY","2020",334
"416","HILLMAN CITY","2021",271
"417","HILLMAN CITY","2022",282
"418","HILLMAN CITY","2023",43
"419","JUDKINS PARK/NORTH BEACON HILL","2008",540
"420","JUDKINS PARK/NORTH BEACON HILL","2009",421
"421","JUDKINS PARK/NORTH BEACON HILL","2010",398
"422","JUDKINS PARK/NORTH BEACON HILL","2011",402
"423","JUDKINS PARK/NORTH BEACON HILL","2012",368
"424","JUDKINS PARK/NORTH BEACON HILL","2013",488
"425","JUDKINS PARK/NORTH BEACON HILL","2014",634
"426","JUDKINS PARK/NORTH BEACON HILL","2015",638
"427","JUDKINS PARK/NORTH BEACON HILL","2016",584
"428","JUDKINS PARK/NORTH BEACON HILL","2017",670
"429","JUDKINS PARK/NORTH BEACON HILL","2018",729
"430","JUDKINS PARK/NORTH BEACON HILL","2019",638
"431","JUDKINS PARK/NORTH BEACON HILL","2020",820
